no_polygon,kebun,afdeling,kode_blok,koordinat
,Unit Bekri,Afdeling I,KR000A,"-5.4070653981651,105.119061061002"
,Unit Bekri,Afdeling I,KR003A,"-5.35591675240598,105.139423424346"
,Unit Bekri,Afdeling I,KR003B,"-5.365808698037,105.13384032144"
,Unit Bekri,Afdeling I,KR003C,"-5.36346318606621,105.137722635671"
,Unit Bekri,Afdeling I,KR003D,"-5.36545388706994,105.138958799176"
,Unit Bekri,Afdeling I,KR004A,"-5.35236807457605,105.117243259352"
,Unit Bekri,Afdeling I,KR004B,"-5.36205743818046,105.129472668472"
,Unit Bekri,Afdeling I,KR005A,"-5.34683231708341,105.116626359355"
,Unit Bekri,Afdeling I,KR005B,"-5.4057949748523,105.098708626953"
,Unit Bekri,Afdeling I,KR005C,"-5.40129349596036,105.101794811541"
,Unit Bekri,Afdeling I,KR006A,"-5.34215711796855,105.101436829028"
,Unit Bekri,Afdeling I,KR006A,"-5.36964509930956,105.112507450617"
,Unit Bekri,Afdeling I,KR006B,"-5.33530154352269,105.158442492214"
,Unit Bekri,Afdeling I,KR007A,"-5.36457458723053,105.117672976988"
,Unit Bekri,Afdeling I,KR007A,"-5.36098289471773,105.120854414075"
,Unit Bekri,Afdeling I,KR007A,"-5.36875570741307,105.119939170448"
,Unit Bekri,Afdeling I,KR007B,"-5.33828344511353,105.153617308108"
,Unit Bekri,Afdeling I,KR007C,"-5.33781111112483,105.16387835332"
,Unit Bekri,Afdeling I,KR008A,"-5.34397922621246,105.136691379232"
,Unit Bekri,Afdeling I,KR008B,"-5.37778112202907,105.147649792287"
,Unit Bekri,Afdeling I,KR008C,"-5.40752680055795,105.115698315627"
,Unit Bekri,Afdeling I,KR009A,"-5.34233759677625,105.153468687604"
,Unit Bekri,Afdeling I,KR009B,"-5.34436752789951,105.162708298762"
,Unit Bekri,Afdeling I,KR009C,"-5.39409312703322,105.133106576567"
,Unit Bekri,Afdeling I,KR013A,"-5.37301084892686,105.115651763579"
,Unit Bekri,Afdeling I,KR013B,"-5.40702780828322,105.110041677072"
,Unit Bekri,Afdeling I,KR013C,"-5.40144391377392,105.116655352825"
,Unit Bekri,Afdeling I,KR933A,"-5.34774304626288,105.137317890686"
,Unit Bekri,Afdeling I,KR992A,"-5.40087218879227,105.113088565047"
,Unit Bekri,Afdeling I,KR992B,"-5.40034760527143,105.105577921733"
,Unit Bekri,Afdeling I,KR992C,"-5.36558750981603,105.129843379752"
,Unit Bekri,Afdeling I,KR993B,"-5.37416501222537,105.143936501596"
,Unit Bekri,Afdeling I,KR993C,"-5.38209314174168,105.118132931815"
,Unit Bekri,Afdeling I,KR993D,"-5.39602422830141,105.127124091354"
,Unit Bekri,Afdeling I,KR994A,"-5.33634047732472,105.150315747831"
,Unit Bekri,Afdeling I,KR994B,"-5.39876819035992,105.114602778367"
,Unit Bekri,Afdeling I,KR995A,"-5.39494682163073,105.110305321155"
,Unit Bekri,Afdeling I,KR995A,"-5.39593112610272,105.1121463066"
,Unit Bekri,Afdeling I,KR995B,"-5.39087844304449,105.117207255241"
,Unit Bekri,Afdeling I,KR995C,"-5.38553257761676,105.117502925033"
,Unit Bekri,Afdeling I,KR997A,"-5.35209376703428,105.13850596451"
,Unit Bekri,Afdeling I,KR997A,"-5.3605610579694,105.138895833232"
,Unit Bekri,Afdeling I,KR997B,"-5.35293349989576,105.13325214605"
,Unit Bekri,Afdeling I,KR997C,"-5.39441037127643,105.130480056031"
,Unit Bekri,Afdeling I,KR998A,"-5.372516934825,105.139908679199"
,Unit Bekri,Afdeling I,KR998B,"-5.38206993208435,105.150905161693"
,Unit Bekri,Afdeling I,KR998C,"-5.38210949771916,105.155723453311"
,Unit Bekri,Afdeling I,KR999A,"-5.34764306044239,105.109288237869"
,Unit Bekri,Afdeling I,KR999B,"-5.35612393390927,105.125337329612"
,Unit Bekri,Afdeling I,KR999C,"-5.40333414030833,105.116128892219"
,Unit Bekri,Afdeling I,,"-5.36838226972653,105.121128502088"
,Unit Bekri,Afdeling I,,"-5.36785508275591,105.124336582888"
,Unit Bekri,Afdeling I,,"-5.36945432826239,105.12459363304"
,Unit Bekri,Afdeling I,,"-5.3652490289791,105.116614774123"
